Date,Merchant,Amount,Category,Description
2024-01-15,Amazon India,-2500.00,Shopping,Online purchase
2024-01-14,Salary Credit,50000.00,Income,Monthly salary
2024-01-13,Uber,-150.00,Transportation,Ride to office
2024-01-12,Swiggy,-300.00,Food,Food delivery
2024-01-11,ATM Withdrawal,-2000.00,Cash,Cash withdrawal
2024-01-10,Netflix,-199.00,Entertainment,Monthly subscription
2024-01-09,Petrol Pump,-800.00,Transportation,Fuel
2024-01-08,Zomato,-450.00,Food,Restaurant order
2024-01-07,Flipkart,-1200.00,Shopping,Electronics purchase
2024-01-06,Salary Credit,50000.00,Income,Monthly salary

