Date,Merchant,Amount,Category,Description
2024-01-16,New Merchant,-80000.00,Shopping,High value transaction
2024-01-16,New Merchant,-100.00,Shopping,Rapid fire transaction 1
2024-01-16,New Merchant,-100.00,Shopping,Rapid fire transaction 2
2024-01-16,New Merchant,-100.00,Shopping,Rapid fire transaction 3
2024-01-16,New Merchant,-100.00,Shopping,Rapid fire transaction 4
2024-01-16,New Merchant,-100.00,Shopping,Rapid fire transaction 5
2024-01-17T03:00:00,Swiggy,-5000.00,Food,Odd hour transaction
2024-01-18,Test Merchant,-10000.00,Testing,Round number transaction
2024-01-18,Test Merchant,-10000.00,Testing,Duplicate transaction
2024-01-19,High Frequency Store,-1500.00,Shopping,High frequency transaction 1
2024-01-19,High Frequency Store,-1500.00,Shopping,High frequency transaction 2
2024-01-19,High Frequency Store,-1500.00,Shopping,High frequency transaction 3
2024-01-19,High Frequency Store,-1500.00,Shopping,High frequency transaction 4
2024-01-19,High Frequency Store,-1500.00,Shopping,High frequency transaction 5
2024-01-19,High Frequency Store,-1500.00,Shopping,High frequency transaction 6
2024-01-20,Jewelry Store,-150000.00,Jewelry,Category value correlation
2024-01-21,Round Trip Credit,100000.00,Transfer,Round trip credit
2024-01-21,Round Trip Debit,-99900.00,Transfer,Round trip debit
2024-01-22,Rapid Refund Debit,-5000.00,Shopping,Rapid refund debit
2024-01-22,Rapid Refund Credit,5000.00,Shopping,Rapid refund credit
