Date,Merchant,Amount,Category,Description
2024-01-04,Stationary Shop,-13090.71,Education,Purchase at Stationary Shop
2024-01-04,Petrol Pump,-2640.98,Transportation,Purchase at Petrol Pump
2024-01-04,Petrol Pump,-1697.9,Transportation,Purchase at Petrol Pump
2024-01-04,Jio,-1660.61,Bills and Utilities,Purchase at Jio
2024-01-06,Amazon Prime,-228.75,Entertainment,Purchase at Amazon Prime
2024-01-07,Salary Credit,58328.0,Income,Monthly Salary Credit
2024-01-07,Salary Credit,58328.0,Income,Monthly Salary Credit
2024-01-08,Metro Card Recharge,-2705.1,Transportation,Purchase at Metro Card Recharge
2024-01-08,D-Mart,-1815.26,Shopping,Purchase at D-Mart
2024-01-08,Tata Power,-1570.49,Bills and Utilities,Purchase at Tata Power
2024-01-08,Book Store,-6150.39,Education,Purchase at Book Store
2024-01-09,Uber,-1266.36,Transportation,Purchase at Uber
2024-01-10,PVR Cinemas,-211.39,Entertainment,Purchase at PVR Cinemas
2024-01-10,Stationary Shop,-6694.77,Education,Purchase at Stationary Shop
2024-01-11,BookMyShow,-1306.74,Entertainment,Purchase at BookMyShow
2024-01-12,Stationary Shop,-10025.08,Education,Purchase at Stationary Shop
2024-01-13,Food Panda,-661.93,Food and Dining,Purchase at Food Panda
2024-01-15,Indian Railways,-1883.64,Transportation,Purchase at Indian Railways
2024-01-17,Gym Membership,-2760.36,Health and Fitness,Purchase at Gym Membership
2024-01-17,Dominos,-1428.51,Food and Dining,Purchase at Dominos
2024-01-18,Netflix,-1497.43,Entertainment,Purchase at Netflix
2024-01-19,Indian Railways,-2194.68,Transportation,Purchase at Indian Railways
2024-01-20,Ola,-2111.24,Transportation,Purchase at Ola
2024-01-20,Book Store,-6245.03,Education,Purchase at Book Store
2024-01-21,Jio,-1875.37,Bills and Utilities,Purchase at Jio
2024-01-22,Diagnostic Center,-1601.12,Health and Fitness,Purchase at Diagnostic Center
2024-01-22,Ola,-1665.33,Transportation,Purchase at Ola
2024-01-22,Uber,-1768.0,Transportation,Purchase at Uber
2024-01-24,PVR Cinemas,-1426.5,Entertainment,Purchase at PVR Cinemas
2024-01-24,Spotify,-1442.47,Entertainment,Purchase at Spotify
2024-01-25,BSNL,-4857.56,Bills and Utilities,Purchase at BSNL
2024-01-26,Metro Card Recharge,-2703.51,Transportation,Purchase at Metro Card Recharge
2024-01-28,Stationary Shop,-12111.31,Education,Purchase at Stationary Shop
2024-01-30,Stationary Shop,-1727.13,Education,Purchase at Stationary Shop
2024-01-30,BSNL,-1313.5,Bills and Utilities,Purchase at BSNL
2024-01-31,Diagnostic Center,-2861.71,Health and Fitness,Purchase at Diagnostic Center
2024-02-01,Dominos,-256.25,Food and Dining,Purchase at Dominos
2024-02-05,McDonald's,-1749.06,Food and Dining,Purchase at McDonald's
2024-02-05,Zomato,-1303.94,Food and Dining,Purchase at Zomato
2024-02-06,Swiggy,-527.77,Food and Dining,Purchase at Swiggy
2024-02-07,Swiggy,-859.91,Food and Dining,Purchase at Swiggy
2024-02-08,Myntra,-875.08,Shopping,Purchase at Myntra
2024-02-11,Petrol Pump,-2699.03,Transportation,Purchase at Petrol Pump
2024-02-11,Udemy,-13157.45,Education,Purchase at Udemy
2024-02-14,School Fees,-547.58,Education,Purchase at School Fees
2024-02-16,Dominos,-1523.07,Food and Dining,Purchase at Dominos
2024-02-16,D-Mart,-3129.63,Shopping,Purchase at D-Mart
2024-02-17,Gym Membership,-4608.78,Health and Fitness,Purchase at Gym Membership
2024-02-19,Apollo Pharmacy,-4481.36,Health and Fitness,Purchase at Apollo Pharmacy
2024-02-21,Zomato,-870.27,Food and Dining,Purchase at Zomato
2024-02-25,Reliance Retail,-4515.18,Shopping,Purchase at Reliance Retail
2024-02-26,Jio,-4230.15,Bills and Utilities,Purchase at Jio
2024-02-26,Myntra,-2014.64,Shopping,Purchase at Myntra
2024-02-26,Stationary Shop,-12965.18,Education,Purchase at Stationary Shop
2024-02-27,Udemy,-5142.71,Education,Purchase at Udemy
2024-02-28,Dominos,-1701.64,Food and Dining,Purchase at Dominos
2024-02-29,Gym Membership,-1436.66,Health and Fitness,Purchase at Gym Membership
2024-02-29,Gym Membership,-3945.01,Health and Fitness,Purchase at Gym Membership
2024-02-29,Myntra,-3645.3,Shopping,Purchase at Myntra
2024-03-01,Food Panda,-1806.78,Food and Dining,Purchase at Food Panda
2024-03-02,Indian Railways,-1952.2,Transportation,Purchase at Indian Railways
2024-03-03,Amazon,-1308.31,Shopping,Purchase at Amazon
2024-03-07,Salary Credit,58328.0,Income,Monthly Salary Credit
2024-03-07,Salary Credit,58328.0,Income,Monthly Salary Credit
2024-03-07,Zomato,-1405.74,Food and Dining,Purchase at Zomato
2024-03-09,Indian Railways,-910.31,Transportation,Purchase at Indian Railways
2024-03-10,Medical Store,-2029.77,Health and Fitness,Purchase at Medical Store
2024-03-11,Medical Store,-2578.36,Health and Fitness,Purchase at Medical Store
2024-03-11,Ola,-1202.38,Transportation,Purchase at Ola
2024-03-11,Amazon Prime,-1636.01,Entertainment,Purchase at Amazon Prime
2024-03-12,Medical Store,-2617.27,Health and Fitness,Purchase at Medical Store
2024-03-12,Myntra,-4550.27,Shopping,Purchase at Myntra
2024-03-14,BookMyShow,-1787.43,Entertainment,Purchase at BookMyShow
2024-03-15,Water Supply,-4044.03,Bills and Utilities,Purchase at Water Supply
2024-03-19,Netflix,-776.97,Entertainment,Purchase at Netflix
2024-03-19,Udemy,-4075.6,Education,Purchase at Udemy
2024-03-19,Swiggy,-968.19,Food and Dining,Purchase at Swiggy
2024-03-20,Reliance Retail,-3310.16,Shopping,Purchase at Reliance Retail
2024-03-21,Book Store,-4343.79,Education,Purchase at Book Store
2024-03-23,Diagnostic Center,-4603.18,Health and Fitness,Purchase at Diagnostic Center
2024-03-23,Tata Power,-2067.39,Bills and Utilities,Purchase at Tata Power
2024-03-23,McDonald's,-921.97,Food and Dining,Purchase at McDonald's
2024-03-25,Apollo Pharmacy,-3603.25,Health and Fitness,Purchase at Apollo Pharmacy
2024-03-27,Indian Railways,-1389.03,Transportation,Purchase at Indian Railways
2024-03-27,Big Bazaar,-3106.93,Shopping,Purchase at Big Bazaar
2024-03-27,Amazon Prime,-1669.17,Entertainment,Purchase at Amazon Prime
2024-03-28,Indian Railways,-1935.9,Transportation,Purchase at Indian Railways
2024-03-30,Netflix,-810.73,Entertainment,Purchase at Netflix
2024-03-30,Myntra,-3614.12,Shopping,Purchase at Myntra
2024-04-01,BSNL,-4917.54,Bills and Utilities,Purchase at BSNL
2024-04-01,Dominos,-1478.8,Food and Dining,Purchase at Dominos
2024-04-04,Food Panda,-1857.75,Food and Dining,Purchase at Food Panda
2024-04-05,Amazon,-3778.84,Shopping,Purchase at Amazon
2024-04-05,BookMyShow,-895.56,Entertainment,Purchase at BookMyShow
2024-04-06,Coursera,-3512.13,Education,Purchase at Coursera
2024-04-07,Salary Credit,58328.0,Income,Monthly Salary Credit
2024-04-07,Water Supply,-1086.74,Bills and Utilities,Purchase at Water Supply
2024-04-08,Metro Card Recharge,-2833.7,Transportation,Purchase at Metro Card Recharge
2024-04-11,Gym Membership,-516.2,Health and Fitness,Purchase at Gym Membership
2024-04-12,Udemy,-7572.7,Education,Purchase at Udemy
2024-04-13,Flipkart,-1948.86,Shopping,Purchase at Flipkart
2024-04-13,BSNL,-3775.08,Bills and Utilities,Purchase at BSNL
2024-04-14,Apollo Pharmacy,-2531.74,Health and Fitness,Purchase at Apollo Pharmacy
2024-04-15,D-Mart,-769.73,Shopping,Purchase at D-Mart
2024-04-16,Spotify,-317.7,Entertainment,Purchase at Spotify
2024-04-16,Ola,-1479.2,Transportation,Purchase at Ola
2024-04-16,Amazon,-4915.22,Shopping,Purchase at Amazon
2024-04-16,Apollo Pharmacy,-1492.2,Health and Fitness,Purchase at Apollo Pharmacy
2024-04-17,Myntra,-4507.54,Shopping,Purchase at Myntra
2024-04-18,Metro Card Recharge,-499.72,Transportation,Purchase at Metro Card Recharge
2024-04-19,Diagnostic Center,-2870.07,Health and Fitness,Purchase at Diagnostic Center
2024-04-20,Indian Railways,-2101.07,Transportation,Purchase at Indian Railways
2024-04-22,Medical Store,-2001.54,Health and Fitness,Purchase at Medical Store
2024-04-23,Coursera,-11862.11,Education,Purchase at Coursera
2024-04-26,Amazon Prime,-1588.5,Entertainment,Purchase at Amazon Prime
2024-04-28,Tata Power,-4099.67,Bills and Utilities,Purchase at Tata Power
2024-04-28,Medical Store,-4546.42,Health and Fitness,Purchase at Medical Store
2024-04-29,Amazon,-972.81,Shopping,Purchase at Amazon
2024-04-30,Stationary Shop,-14791.78,Education,Purchase at Stationary Shop
2024-05-03,Diagnostic Center,-2256.06,Health and Fitness,Purchase at Diagnostic Center
2024-05-03,PVR Cinemas,-1378.19,Entertainment,Purchase at PVR Cinemas
2024-05-04,Starbucks,-1934.46,Food and Dining,Purchase at Starbucks
2024-05-04,Dominos,-1295.76,Food and Dining,Purchase at Dominos
2024-05-07,Salary Credit,58328.0,Income,Monthly Salary Credit
2024-05-09,Reliance Retail,-4386.9,Shopping,Purchase at Reliance Retail
2024-05-09,Gym Membership,-2633.9,Health and Fitness,Purchase at Gym Membership
2024-05-10,School Fees,-11363.73,Education,Purchase at School Fees
2024-05-10,Indian Railways,-2315.8,Transportation,Purchase at Indian Railways
2024-05-10,Swiggy,-359.03,Food and Dining,Purchase at Swiggy
2024-05-11,PVR Cinemas,-1758.33,Entertainment,Purchase at PVR Cinemas
2024-05-12,BookMyShow,-718.99,Entertainment,Purchase at BookMyShow
2024-05-12,Spotify,-985.6,Entertainment,Purchase at Spotify
2024-05-13,McDonald's,-212.54,Food and Dining,Purchase at McDonald's
2024-05-13,Myntra,-1956.29,Shopping,Purchase at Myntra
2024-05-14,Stationary Shop,-2312.99,Education,Purchase at Stationary Shop
2024-05-16,Jio,-1105.37,Bills and Utilities,Purchase at Jio
2024-05-17,BSNL,-1697.81,Bills and Utilities,Purchase at BSNL
2024-05-18,Dominos,-1074.06,Food and Dining,Purchase at Dominos
2024-05-18,D-Mart,-3799.99,Shopping,Purchase at D-Mart
2024-05-18,Petrol Pump,-271.51,Transportation,Purchase at Petrol Pump
2024-05-19,Netflix,-1638.56,Entertainment,Purchase at Netflix
2024-05-19,BSNL,-968.66,Bills and Utilities,Purchase at BSNL
2024-05-19,Flipkart,-3405.48,Shopping,Purchase at Flipkart
2024-05-19,Coursera,-7151.94,Education,Purchase at Coursera
2024-05-19,PVR Cinemas,-1822.49,Entertainment,Purchase at PVR Cinemas
2024-05-22,Big Bazaar,-1998.78,Shopping,Purchase at Big Bazaar
2024-05-23,Swiggy,-428.23,Food and Dining,Purchase at Swiggy
2024-05-23,Diagnostic Center,-1079.51,Health and Fitness,Purchase at Diagnostic Center
2024-05-23,Starbucks,-1571.79,Food and Dining,Purchase at Starbucks
2024-05-24,Apollo Pharmacy,-3349.94,Health and Fitness,Purchase at Apollo Pharmacy
2024-05-25,Metro Card Recharge,-947.65,Transportation,Purchase at Metro Card Recharge
2024-05-27,Book Store,-1281.77,Education,Purchase at Book Store
2024-05-28,D-Mart,-4525.08,Shopping,Purchase at D-Mart
2024-05-30,PVR Cinemas,-797.93,Entertainment,Purchase at PVR Cinemas
2024-05-30,Tata Power,-1072.78,Bills and Utilities,Purchase at Tata Power
2024-06-02,Water Supply,-3692.34,Bills and Utilities,Purchase at Water Supply
2024-06-02,Zomato,-1545.7,Food and Dining,Purchase at Zomato
2024-06-03,Indian Railways,-322.61,Transportation,Purchase at Indian Railways
2024-06-03,BSNL,-3642.4,Bills and Utilities,Purchase at BSNL
2024-06-03,Food Panda,-969.19,Food and Dining,Purchase at Food Panda
2024-06-03,Airtel,-2313.18,Bills and Utilities,Purchase at Airtel
2024-06-04,School Fees,-13960.96,Education,Purchase at School Fees
2024-06-05,Petrol Pump,-387.58,Transportation,Purchase at Petrol Pump
2024-06-05,Zomato,-1281.14,Food and Dining,Purchase at Zomato
2024-06-07,Salary Credit,58328.0,Income,Monthly Salary Credit
2024-06-09,Gym Membership,-2788.96,Health and Fitness,Purchase at Gym Membership
2024-06-10,Udemy,-10364.01,Education,Purchase at Udemy
2024-06-10,BSNL,-1815.85,Bills and Utilities,Purchase at BSNL
2024-06-10,Jio,-3954.91,Bills and Utilities,Purchase at Jio
2024-06-13,Airtel,-755.21,Bills and Utilities,Purchase at Airtel
2024-06-13,School Fees,-8149.41,Education,Purchase at School Fees
2024-06-14,Uber,-2750.31,Transportation,Purchase at Uber
2024-06-14,Reliance Retail,-3051.34,Shopping,Purchase at Reliance Retail
2024-06-14,Swiggy,-221.9,Food and Dining,Purchase at Swiggy
2024-06-14,Dominos,-968.95,Food and Dining,Purchase at Dominos
2024-06-16,Spotify,-245.67,Entertainment,Purchase at Spotify
2024-06-17,BSNL,-4342.41,Bills and Utilities,Purchase at BSNL
2024-06-17,Apollo Pharmacy,-1415.66,Health and Fitness,Purchase at Apollo Pharmacy
2024-06-19,Book Store,-10943.36,Education,Purchase at Book Store
2024-06-20,Udemy,-11507.63,Education,Purchase at Udemy
2024-06-20,BSNL,-3424.08,Bills and Utilities,Purchase at BSNL
2024-06-21,Stationary Shop,-5407.17,Education,Purchase at Stationary Shop
2024-06-23,D-Mart,-4350.6,Shopping,Purchase at D-Mart
2024-06-25,Book Store,-9642.78,Education,Purchase at Book Store
2024-06-29,Medical Store,-696.42,Health and Fitness,Purchase at Medical Store
2024-06-29,Diagnostic Center,-2483.79,Health and Fitness,Purchase at Diagnostic Center
2024-06-29,Spotify,-484.03,Entertainment,Purchase at Spotify
2024-06-30,Medical Store,-1286.23,Health and Fitness,Purchase at Medical Store
2024-07-02,Zomato,-1330.55,Food and Dining,Purchase at Zomato
2024-07-03,Ola,-506.88,Transportation,Purchase at Ola
2024-07-05,Airtel,-3860.67,Bills and Utilities,Purchase at Airtel
2024-07-06,Airtel,-4498.25,Bills and Utilities,Purchase at Airtel
2024-07-07,Salary Credit,58328.0,Income,Monthly Salary Credit
2024-07-09,D-Mart,-3780.61,Shopping,Purchase at D-Mart
2024-07-09,Reliance Retail,-2303.53,Shopping,Purchase at Reliance Retail
2024-07-10,Water Supply,-2679.54,Bills and Utilities,Purchase at Water Supply
2024-07-11,Food Panda,-832.32,Food and Dining,Purchase at Food Panda
2024-07-12,McDonald's,-1463.2,Food and Dining,Purchase at McDonald's
2024-07-12,Coursera,-11735.07,Education,Purchase at Coursera
2024-07-12,Starbucks,-338.62,Food and Dining,Purchase at Starbucks
2024-07-12,Electricity Board,-1420.58,Bills and Utilities,Purchase at Electricity Board
2024-07-12,Netflix,-1121.61,Entertainment,Purchase at Netflix
2024-07-13,Food Panda,-769.49,Food and Dining,Purchase at Food Panda
2024-07-16,Amazon Prime,-1799.96,Entertainment,Purchase at Amazon Prime
2024-07-16,Coursera,-7626.48,Education,Purchase at Coursera
2024-07-17,Indian Railways,-2701.97,Transportation,Purchase at Indian Railways
2024-07-18,Petrol Pump,-589.71,Transportation,Purchase at Petrol Pump
